n = 2, erro = 7.2755409197666593e-168
n = 4, erro = 5.6126851835354851e-168
n = 6, erro = 4.6556598766743553e-168
n = 8, erro = 4.0148225526926772e-168
n = 10, erro = 3.5461625003498058e-168
n = 12, erro = 3.1833780821371795e-168
n = 14, erro = 2.8910895118324833e-168
n = 16, erro = 2.6484788884214513e-168
n = 18, erro = 2.4423584288575046e-168
n = 20, erro = 2.9255903307375898e-06
